Strain Amplitude (%),Material,Heat Treatment,Cycle,Relative Cycle,eIP (%),sigmayT (MPa),sigma dot _T (GPa),Wp (kJ/m3),We+ (kJ/m3),sigmaMT (MPa),sigmaMC (MPa)
0.6,0,300,351,0.5,0.500894,24.71409646,35.77108268,0.078689894,0.079316375,296.9322536,-226.0924351
0.6,0,300,475,0.676638177,0.470943,41.06175519,36.94915878,0.077580955,0.081234238,300.1864777,-224.9741339
0.6,0,300,701,0.998575499,0.504808,31.79612966,35.70401961,0.069584785,0.077142981,281.6159652,-224.0373446
1.2,0,300,3,0.017857143,0.751329,-112.4550773,9.602127458,0.388388407,0.073641751,289.2006146,-252.7230793
1.2,0,300,5,0.029761905,0.77446,-109.951576,10.31915621,0.395142956,0.078724999,298.0004522,-259.6182276
1.2,0,300,7,0.041666667,0.520663,-113.4261236,10.08146498,0.410222161,0.080498985,303.6882662,-263.5923246
1.2,0,300,9,0.053571429,0.529261,-99.96202677,10.20491781,0.418152376,0.081669707,305.9108833,-266.064177
1.2,0,300,12,0.071428571,0.596681,-103.9314484,10.06620946,0.429138254,0.083245216,309.2462476,-268.8036066
1.2,0,300,16,0.095238095,0.666976,-92.50762777,9.974500272,0.44647775,0.082424022,310.7186416,-271.3840723
1.2,0,300,22,0.130952381,0.775151,-94.06561766,9.937810113,0.451336201,0.084505234,311.4095231,-273.4455677
1.2,0,300,29,0.172619048,0.840011,-94.92805066,10.04027549,0.457529781,0.086251673,311.622434,-275.2873189
1.2,0,300,39,0.232142857,0.795088,-94.44000997,10.08964714,0.458449507,0.084074817,310.560397,-278.2324664
1.2,0,300,53,0.31547619,0.79668,-93.73006721,10.29118527,0.460139184,0.081593362,310.5805372,-279.8990696
1.2,0,300,70,0.416666667,0.842152,-92.46339122,10.49635368,0.457404311,0.08354138,310.8215006,-282.0357312
1.2,0,300,84,0.5,0.842476,-91.22260979,10.619709,0.453489384,0.083602226,311.1200074,-283.3959154
1.2,0,300,94,0.55952381,0.845456,-90.4209571,10.56802846,0.449356076,0.086103108,311.0311746,-284.6748194
1.2,0,300,126,0.75,0.794759,-87.53227409,11.00695559,0.445775516,0.085416657,310.3816525,-287.4451786
1.2,0,300,168,1,0.689526,-85.97859996,11.36101154,0.433245778,0.085723288,306.8599912,-290.200073
1,0,300,3,0.015706806,0.589891,-103.65444,15.97740528,0.248616858,0.066626983,274.82688,-247.70916
1,0,300,4,0.020942408,0.604649,-103.01652,16.38295238,0.248545965,0.068672377,278.8632,-250.9776
